epoch,step,train_loss,val_loss
0,49,0.8659742474555969,
0,99,0.3436523973941803,
0,149,0.2755652070045471,
0,199,0.28698164224624634,
0,249,0.22044523060321808,
0,299,0.20232701301574707,
0,349,0.20101842284202576,
0,376,,0.2619011700153351
1,399,0.2521408796310425,
1,449,0.20345447957515717,
1,499,0.16442769765853882,
1,549,0.17693167924880981,
1,599,0.1716279685497284,
1,649,0.18782857060432434,
1,699,0.1735447347164154,
1,749,0.14111638069152832,
1,753,,0.1710730493068695
2,799,0.14819814264774323,
2,849,0.19948405027389526,
2,899,0.1669052243232727,
2,949,0.12757252156734467,
2,999,0.1258934885263443,
2,1049,0.16061535477638245,
2,1099,0.15098579227924347,
2,1130,,0.16124670207500458
3,1149,0.13845878839492798,
3,1199,0.14118513464927673,
3,1249,0.13074997067451477,
3,1299,0.11756521463394165,
3,1349,0.22434458136558533,
3,1399,0.14363932609558105,
3,1449,0.16739177703857422,
3,1499,0.157323956489563,
3,1507,,0.14948241412639618
4,1549,0.1806240975856781,
4,1599,0.1533580720424652,
4,1649,0.1427154690027237,
4,1699,0.12942203879356384,
4,1749,0.17629286646842957,
4,1799,0.18960735201835632,
4,1849,0.15507884323596954,
4,1884,,0.1486562043428421
5,1899,0.15218104422092438,
5,1949,0.10961995273828506,
5,1999,0.13834333419799805,
5,2049,0.19955754280090332,
5,2099,0.17326609790325165,
5,2149,0.13531850278377533,
5,2199,0.12232351303100586,
5,2249,0.14056506752967834,
5,2261,,0.1360204815864563
6,2299,0.14856618642807007,
6,2349,0.1251130998134613,
6,2399,0.11507031321525574,
6,2449,0.1252615749835968,
6,2499,0.12658244371414185,
6,2549,0.1701568365097046,
6,2599,0.21483001112937927,
6,2638,,0.13737769424915314
7,2649,0.14093747735023499,
7,2699,0.11783219128847122,
7,2749,0.1378624439239502,
7,2799,0.11156821250915527,
7,2849,0.1294555962085724,
7,2899,0.10140698403120041,
7,2949,0.12203750014305115,
7,2999,0.12601569294929504,
7,3015,,0.13110554218292236
8,3049,0.1365251988172531,
8,3099,0.10229304432868958,
8,3149,0.11802732944488525,
8,3199,0.13305523991584778,
8,3249,0.09125982969999313,
8,3299,0.10588289797306061,
8,3349,0.10486352443695068,
8,3392,,0.12785103917121887
9,3399,0.11914628744125366,
9,3449,0.12519556283950806,
9,3499,0.1266111582517624,
9,3549,0.15212368965148926,
9,3599,0.12056341767311096,
9,3649,0.11852384358644485,
9,3699,0.1685076802968979,
9,3749,0.11812333762645721,
9,3769,,0.12627145648002625
